frame_id,prompt,cause,effect,link_type,strength
1,"A rock rolls down a slope, crushing a small wooden fence",rock rolls down slope,fence crushed,causal,0.761
1,"A dropped vase falls onto a soft carpet, leaving no damage",vase drops,vase intact,causal,0.652
1,"A rope gets tangled around a metal rod, holding it in place",rope wraps around rod,rod held,causal,0.732
1,"A book is placed on top of another, creating a precarious tower",book stacked,tower precariously balanced,causal,0.728
1,"A bucket overflows, spilling water onto the ground",bucket fills,water spilled,causal,0.769
1,"A toy car careens off a wall, coming to rest against a vase",car crashes into wall,vase knocked over,causal,0.764
1,A metal wire is bent out of shape by a heavy object being placed on it,wire bent,wire distorted,causal,0.831
1,"A chain breaks, releasing a small metal ball that rolls away",chain snaps,ball released,causal,0.717
1,"A stack of plates teeters on the edge of a table, threatening to fall",plates stacked,plates precariously balanced,causal,0.744
1,"A small boat drifts away from the shore, carried by currents",boat adrift,boat floats away,causal,0.712
1,"A heavy box is placed on a thin sheet of ice, causing it to crack",box placed on ice,ice cracked,causal,0.777
1,"A rubber band snaps back, hitting a nearby object and knocking it over",rubber band snaps,object knocked over,causal,0.750
1,"A rope wraps around a tree trunk, holding it secure",rope wraps around tree,tree held,causal,0.712
1,"A small stone is thrown into a still pond, creating ripples",stone tossed into pond,ripples formed,causal,0.726
1,A metal rod bends out of shape when a heavy object is placed on it,rod bent,rod distorted,causal,0.812
1,"A bucket lid comes loose, spilling contents onto the floor",lid loosens,contents spilled,causal,0.754
1,"A ball rolls down a ramp, gaining speed and momentum",ball rolls down ramp,ball speeds up,causal,0.728
1,A small tree branch breaks off when hit by a strong gust of wind,branch hit by wind,branch snapped,causal,0.807
1,"A rope becomes tangled around a nearby object, holding it secure",rope wraps around object,object held,causal,0.775
1,A metal pipe bends out of shape when a heavy object is placed on it,pipe bent,pipe distorted,causal,0.761
1,"A small rock is dropped into a deep well, creating a splash",rock dropped into well,splash formed,causal,0.774
1,"A heavy box falls onto a soft cushion, causing no damage",box falls,cushion intact,causal,0.756
1,A metal wire is stretched to its limit by a heavy object being placed on it,wire strained,wire taut,causal,0.787
1,"A small boat drifts away from the shore, carried by currents and wind",boat adrift,boat floats away,causal,0.722
1,"A chain breaks, releasing a small metal ball that rolls down an incline",chain snaps,ball rolls down incline,causal,0.787
1,"A rope wraps around a nearby object, holding it secure",rope wraps around object,object held,causal,0.737
1,"A heavy box is placed on top of another, creating a precarious tower",box stacked,tower precariously balanced,causal,0.767
1,"A small stone is thrown into a still pond, creating ripples and waves",stone tossed into pond,ripples formed,causal,0.718
1,"A ball rolls down an inclined plane, picking up speed and momentum",ball rolls down incline,ball speeds up,causal,0.778
1,A metal pipe is bent out of shape when a heavy object is placed on it,pipe bent,pipe distorted,causal,0.808
1,A small tree branch breaks off when hit by strong sunlight,branch hit by sunlight,branch snapped,causal,0.825
1,"A rope wraps around a nearby object, holding it secure and immobile",rope wraps around object,object held immobile,causal,0.768
1,A metal wire snaps when a heavy object is placed on it,wire snaps,wire broken,causal,0.803
1,"A small boat floats away from the shore, carried by currents and wind",boat adrift,boat floats away,causal,0.788
1,"A chain wraps around a nearby object, holding it secure",chain wraps around object,object held,causal,0.740
1,A metal rod is bent out of shape when a heavy object is placed on it,rod bent,rod distorted,causal,0.804
1,"A ball rolls down a spiral ramp, gaining speed and momentum",ball rolls down spiral ramp,ball speeds up,causal,0.776
1,"A small stone is thrown into a still pond, creating a ripple effect",stone tossed into pond,ripple formed,causal,0.759
1,"A metal pipe wraps around a nearby object, holding it secure",pipe wraps around object,object held,causal,0.779
1,"A rope gets tangled around a nearby object, holding it immobile",rope wraps around object,object held immobile,causal,0.756
1,A small tree branch breaks off when hit by strong gust of wind,branch hit by wind,branch snapped,causal,0.816
1,A metal wire is strained to its limit by a heavy object being placed on it,wire strained,wire taut,causal,0.764
1,"A chain wraps around a nearby object, holding it secure and immobile",chain wraps around object,object held immobile,causal,0.728
1,A dropped book hits the hardwood floor with a hollow thud,book drops,book scuffs floor,causal,0.733
1,The rope snaps under the weight of a falling tree branch,rope breaks,branch crashes,causal,0.716
1,A spilled bucket of water overflows onto the concrete,bucket tips,water spills,causal,0.729
